idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,충남,1,송도오션 리조트,Taean Songdo Ocean Resort,리조트,2급,041-672-7000,소원면 모항항길 94,6,,5,,http://www.songdoocean.co.kr/,https://hotels.naver.com/KR1000008/hotels/N3643853?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,충남,2,글로리 콘도 도고,Glory Condo Dogo,리조트,3급,041-541-7100,도고면 도고온천로 124-23,,,2.8,,http://www.kensington.co.kr/rgg,https://hotels.naver.com/KR1000008/hotels/N2915471?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,충남,3,말리호텔 & 리조트,Mali Hotel & Resort,리조트,2성급,041-675-3877,소원면 만리포1길 95,,,3.9,,http://www.malipension.co.kr/,https://hotels.naver.com/KR1000008/hotels/N3192380?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,충남,4,골든 베이 골프 & 리조트,Golden Bay Golf & Resort,리조트,3급,041-671-8000,근흥면 정산포로 217,,,,,https://www.goldenbay.kr/,https://hotels.naver.com/KR1000008/hotels/N2944913?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,충남,5,도고 토비스 콘도,Dogo Tovice Condominium,리조트,3급,041-541-5432,도고면 기곡로77번길 39,,,,,,https://hotels.naver.com/KR1000008/hotels/N4012793?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,충남,6,보령 베이스 골프&리조트,Boryeong Base Golf&Resort,리조트,4급,041-939-3600,옥마벚길 10,7.9,,2.2,,http://www.boryeongbase.co.kr/,https://hotels.naver.com/KR1000008/hotels/N2016806?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,충남,7,태안 한양여대 만리포 청소년수련원 & 리조트,Taean Hangyang womens University Youth center resort,리조트,2급,,소원면 천리포1길 122-40,7.6,,,,https://hywyouth.com/,https://hotels.naver.com/KR1000008/hotels/KYK902852?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
