idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,노벰버 리조트,November Kids & Spa,리조트,3급,054-774-3377,감포읍 감포로 226-4,7.7,,4,,,https://hotels.naver.com/KR1000249/hotels/N3927116?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,세븐하프 펜션,Sevenhalf Pension Gyeongju,리조트,3급,054-701-2358,천북면 천북남로 517-18,,,,,http://sevenhalf.kr/,https://hotels.naver.com/KR1000249/hotels/N2684003?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,덕구온천리조트 콘도,Dukgu Oncheon Resort Condo,리조트,3급,054-783-0811,북면 덕구온천로 924,,,,,http://www.dukgu.com/,https://hotels.naver.com/KR1000249/hotels/N5258963?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,서브 마린 리조트,Submarine Resort,리조트,3급,054-293-1200,동해면 호미로 2858,,,,,,https://hotels.naver.com/KR1000249/hotels/N2011248?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,하벳 부띠끄 리조트,Havet Boutique Resort,리조트,4급,,병곡면 흰돌로 46,,,,,http://www.havet.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK3190270?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,오션비치 골프 & 리조트,Yeongdeok Ocean Beach Resort,리조트,3급,054-730-9000,강구면 동해대로 4265-43,9,,,,https://www.oceanbeachcc.com/,https://hotels.naver.com/KR1000249/hotels/N3775397?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,오션힐스 골프앤리조트,Oceanhills Resort,리조트,3급,054-260-7000,송라면 대전길 7-1,,,,,,https://hotels.naver.com/KR1000249/hotels/N5278689?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,칠보산 온천 리조트,Chilbosan Hot Spring Resort,리조트,1급,,경상북도 영덕군 병곡면 흰돌로 153 (영덕심층수온천),,,,,https://ok114.co.kr/0547327715,https://hotels.naver.com/KR1000249/hotels/KYK10359554?adultCnt=2&pageIndex=1&propertyTypes=6&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
