idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
19,경기,19,양평 산골마당펜션,Yangpyeong Mountain Yard Pension,홀리데이 하우스,,,경기 양평군 서종면 내수입길 161,,,,,http://ypsankolmadang.net/,https://hotels.naver.com/KR1000278/hotels/KYK1070302443?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
20,경기,20,문앤스타펜션,Yangpyeong munaen Star Pension,홀리데이 하우스,,,용문면 중원산로 593-2,,,,,,https://hotels.naver.com/KR1000278/hotels/N5284501?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
21,경기,21,Yangpyeong Waltz Pension,,홀리데이 하우스,,,대한민국 경기도 양평,,,,,,https://hotels.naver.com/KR1000278/hotels/N3642969?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,경기,22,포천 산들바람펜션,Pocheon Sandeulbaram Pension,홀리데이 하우스,,,영북면 우물목1길 27-6,,,,,,https://hotels.naver.com/KR1000278/hotels/N5283996?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,경기,23,양평 1469펜션,Yangpyeong 1469 pension,홀리데이 하우스,,,경기도 양평군 단월면 다리네길 38,,,,,http://1469pension.com/,https://hotels.naver.com/KR1000278/hotels/KYK7234338?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,경기,24,운악사계절펜션,Gapyeong Woonak Four Seasons Pension,홀리데이 하우스,,,조종면 와곡길 93-198,,,,,,https://hotels.naver.com/KR1000278/hotels/N5130553?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,경기,25,콩깍지펜션,Gapyeong Kkongkakji Pension,홀리데이 하우스,,,북면 백둔로 510-16,,,,,,https://hotels.naver.com/KR1000278/hotels/N5202710?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,경기,26,벨에포크펜션,Yangpyeong Belle Epoque Pension,홀리데이 하우스,,,서종면 마진배3길 23,,,,,,https://hotels.naver.com/KR1000278/hotels/N5284510?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,경기,27,잣나무솔향기펜션,Pocheon Jatnamu Solhyanggi Pension,홀리데이 하우스,,,군내면 청군로 2985번길 96,,,,,http://www.nutpineps.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5278401?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,경기,28,Dongducheon Eoullim Pension,,홀리데이 하우스,,,대한민국 경기도 포천,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7230979?adultCnt=2&pageIndex=2&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
