idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,강원,1,원주 유알풀빌라suite,You are Suite Pool Villa,빌라,,,지정면 지정로 912,,,,,http://urpoolvilla.staynt.co.kr/,https://hotels.naver.com/KR1000013/hotels/KYK1072154660?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,강원,2,홍천 구름속의 산책 키즈 풀빌라,Hongcheon Gureumsoky Sanchaek Kids Poolvilla,빌라,,,서면 팔봉산로 10,,,,,,https://hotels.naver.com/KR1000013/hotels/KYK8455128?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,강원,3,Yangyang Bamgoland Pension,,빌라,,,대한민국 강원특별자치도 양양,9,,,,https://homepage.staymg.com/%EC%96%91%EC%96%91%EB%B0%A4%EA%B3%A8%EB%9E%9C%EB%93%9C%ED%8E%9C%EC%85%98,https://hotels.naver.com/KR1000013/hotels/KYK9806690?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,강원,4,원주 귀래630 애견 펜션,Wonju Gwirae 630 Dog Pool Villa,빌라,,,귀래면 지둔길 123,,,,,https://site.onda.me/136879,https://hotels.naver.com/KR1000013/hotels/KYK10230317?adultCnt=2&pageIndex=1&propertyTypes=16&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
