idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,경북,1,배때기네하우스,Baettekinae house,홀리데이 하우스,,,대한민국 경상북도 영주,,,,,http://yeongjuguesthouse.staynt.co.kr/rooms/detail/1561912,https://hotels.naver.com/KR1000249/hotels/KYK7589055?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,경북,2,몽 펜션,Gyeongju Mong Bed and Breakfast,홀리데이 하우스,,054-771-7783,북군길 121,,,4,,,https://hotels.naver.com/KR1000249/hotels/N2006845?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,경북,3,청도 살아보기펜션,Cheongdo Sarabogi Pension,홀리데이 하우스,,,청도읍 남성현로 28-10,,,,,http://page.yatravel.co.kr/23491,https://hotels.naver.com/KR1000249/hotels/N5129604?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,경북,4,Private residence,,홀리데이 하우스,,,대한민국 경상북도 경주,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK10434576?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,경북,5,경주 블리블리 풀빌라,Gyeongju Blibli Poolvilla,홀리데이 하우스,,,새골길 49-80,,,,,https://bliblipoolvilla.co.kr/,https://hotels.naver.com/KR1000249/hotels/KYK1072658623?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
6,경북,6,"3-bedroom house in beautiful Gyeongju with WiFi, AC",,홀리데이 하우스,,,대한민국 경상북도 경주,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK11108318?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
7,경북,7,Charming 2-bedroom house with WiFi and AC in Gyeongju-si,,홀리데이 하우스,,,대한민국 경상북도 경주,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK10980554?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
8,경북,8,"Large House for Family Short Term Weekday Rental, Modernized",,홀리데이 하우스,,,대한민국 경상북도 칠곡,,,,,,https://hotels.naver.com/KR1000249/hotels/KYK10642228?adultCnt=2&pageIndex=1&propertyTypes=13&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
