idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
21,경기,21,가평 아이엠펜션,Gapyeong I am Pension,아파트,,,경기도 가평군 북면 백둔로133번길 12-11,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7725233?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
22,경기,22,May.B 풀빌라&스파,Pocheon Sanbital Pool Villa,아파트,,,영북면 산정호수로 297,,,,,http://www.sanbital.co.kr/,https://hotels.naver.com/KR1000278/hotels/N5284001?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
23,경기,23,샤인 스테이,Shine Stay,아파트,,,처인구 명지로55번길 22,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072107416?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
24,경기,24,뉴힐링캠프,New Healing Camp,아파트,,,대한민국 경기도 포천,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070009254?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
25,경기,25,자이 다산역,Xi Dasan Station,아파트,,,다산중앙로 153 (다산자이 아이비플레이스) 606호,10,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072494639?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
26,경기,26,Family-sized condo in bustling district where modernity and tradition coexist!,,아파트,,,대한민국 경기도 수원 장안구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10232466?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
27,경기,27,엘르펜션,Elle Pension,아파트,,,상면 원흥길 13-11,9.2,,,,http://gpyeongps.com/,https://hotels.naver.com/KR1000278/hotels/N5278896?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
28,경기,28,한강 서울 스테이,Han River Seoul Stay,아파트,,,"덕양구 으뜸로 8, 101동 402호",10,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072644979?adultCnt=2&pageIndex=2&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
29,경기,29,Swa Tailored Service Apartment Near Gwanggyo Stn,,아파트,,,대한민국 경기도 수원 영통구,10,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070881242?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
30,경기,30,팜트리 아트 펜션,Palmtree art pension,아파트,,,대한민국 경기도 양평,,,,,http://palmtreeart.co.kr/,https://hotels.naver.com/KR1000278/hotels/KYK7233167?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
31,경기,31,Suite 2 With Private Terrace - The Waterhouse At South Bund,,아파트,,,대한민국 경기도 가평,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK5731180?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
32,경기,32,양평 양수리 돌기와토담집 펜션,Yangpyeong Yangshui Renovation Tile,아파트,,,양서면 신원 3길 33번길 22,,,,,http://page.yapen.co.kr/19953,https://hotels.naver.com/KR1000278/hotels/N5279196?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
33,경기,33,Spacious Mountain Sunset View,,아파트,,,대한민국 경기도 용인 처인구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072709047?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
34,경기,34,산이랑 강이랑,Mountains And Rivers,아파트,,,경기도 가평군 가평읍 호반로 1325,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK7232820?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
35,경기,35,반달섬드림스테이,Beautiful Lagoon Healing Dream Stay,아파트,,,단원구 성곡동839-9,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10528677?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
36,경기,36,Siuri Countryside Retreat,,아파트,,,대한민국 경기도 남양주,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1070170029?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
37,경기,37,Spacious 3-bedroom apartment with peaceful and beautiful ocean view,,아파트,,,대한민국 경기도 안산 단원구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK11042980?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
38,경기,38,The Han River and the mountains are also a 15-minute walk away.,,아파트,,,대한민국 경기도 구리,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK10415875?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
39,경기,39,New 2 bedroom duplex with a tarrace,,아파트,,,대한민국 경기도 안산 상록구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK1072308318?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
40,경기,40,메모리메이커,Memory Maker,아파트,,,가평읍 상지로 832-89,,,,,,https://hotels.naver.com/KR1000278/hotels/N5258411?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
41,경기,41,조용한 도시에 있는 쾌적한 아파트,,아파트,,,대한민국 경기도 부천 소사구,,,,,,https://hotels.naver.com/KR1000278/hotels/KYK11029264?adultCnt=2&pageIndex=3&propertyTypes=12&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
