idx,city,region_idx,name,name_en,property_type,grade,tel,address,rating_hotelscombined,rating_booking,rating_tripadvisor,rating_naver,website,detail_url
1,전남,1,Yeosu Myeongpum Hotel,,민박(Inn),,,대한민국 전라남도 여수,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK9355834?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
2,전남,2,곡성 휴,Gokseong Hyu,민박(Inn),2급,,전라남도 곡성군 석곡면 석곡3길 1,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK1070527427?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
3,전남,3,광양 노블,Gwangyang Noble,민박(Inn),1급,,전라남도 광양시 오류3길 14,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK9014799?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
4,전남,4,Naju Hitel,,민박(Inn),,,대한민국 전라남도 나주,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK9641704?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
5,전남,5,Gwangyang Myeongpum Self check-in Motel,,민박(Inn),,,대한민국 전라남도 광양,,,,,,https://hotels.naver.com/KR1000015/hotels/KYK1070701779?adultCnt=2&pageIndex=1&propertyTypes=2&dCheckIn=2025-08-23&dCheckOut=2025-08-24&dAdultCnt=2&dChildAges=
