acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_response,correct_target,count_about_this_template,count_blank,count_block_loop,count_block_sequence,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_feedback,count_fixation,count_instructions,count_keyboard_response,count_logger,count_practice_loop,count_prime,count_reset_feedback,count_target,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block_loop,live_row_practice_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,practice,prime,prime_condition,relation,repeat_cycle,response,response_end_of_experiment,response_end_of_practice,response_feedback,response_instructions,response_keyboard_response,response_target,response_time,response_time_end_of_experiment,response_time_end_of_practice,response_time_feedback,response_time_instructions,response_time_keyboard_response,response_time_target,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,target_condition,time_about_this_template,time_blank,time_block_loop,time_block_sequence,time_end_of_experiment,time_end_of_practice,time_experiment,time_experimental_loop,time_feedback,time_fixation,time_instructions,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_reset_feedback,time_target,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,0.01676543,0.01676543,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,0,0,83,1,1,0,0,0,0,NA,83,0,83,83,0,83,1,83,83,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,80,80,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,?¼ì,artifactual,similar-environmental,0,None,NA,a,NA,space,None,n,0.016300008,NA,2593.109,NA,6461.0581,0.016300008,724.283,2,psycho,1024,2,48000,-16,experiment,999,odd,?ŒìŠ¤?€,artifactual,NA,193353.5581,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,192638.3985,2930.4788,194184.3478,194184.7916,9392.6066,192844.7394,NA,193458.9683,192630.3284,Extended template,0,1.357999863,81,yes,1024
0,0,0.016762194,0.016762194,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,84,1,1,0,0,0,0,NA,84,0,84,84,0,84,1,84,84,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,81,81,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,?¸ìˆ˜,natural,same phoneme,0,None,NA,a,NA,space,None,n,0.016500009,NA,2593.109,NA,6461.0581,0.016500009,2550.3649,2,psycho,1024,2,48000,-16,experiment,999,odd,"?¸ë‘??,natural""",NA,194983.6932,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,194268.7283,2930.4788,197640.2697,197640.7231,9392.6066,194475.6465,NA,195088.9835,194257.1812,Extended template,0,1.374499872,82,yes,1024,
0,0,0.016899998,0.016899998,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,85,1,1,0,0,0,0,NA,85,0,85,85,0,85,1,85,85,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,82,82,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,ë²Œë ˆ,natural,same phoneme,0,None,NA,a,NA,space,None,a,0.028199982,NA,2593.109,NA,6461.0581,0.028199982,2820.5769,2,psycho,1024,2,48000,-16,experiment,999,odd,ë°œë ˆ,artifactual,NA,198444.5331,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,197729.2763,2930.4788,201372.368,201372.8491,9392.6066,197935.5213,NA,198550.7678,197715.3599,Extended template,0,1.402699854,83,yes,1024
0,0,0.016894046,0.016894046,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,86,1,1,0,0,0,0,NA,86,0,86,86,0,86,1,86,86,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,83,83,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,"??,natural""",inclusive,0,None,NA,a,NA,space,None,n,0.016400008,NA,2593.109,NA,6461.0581,0.016400008,642.9083,2,psycho,1024,2,48000,-16,experiment,999,odd,?˜ë¬´,natural,NA,202179.6487,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,201465.7193,2930.4788,202928.4483,202928.9066,9392.6066,201671.9062,NA,202284.5075,201448.5934,Extended template,0,1.419099863,84,yes,1024,
0,0,0.016876469,0.016876469,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,87,1,1,0,0,0,0,NA,87,0,87,87,0,87,1,87,87,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,84,84,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,ê³¼ì¼,natural,inclusive,0,None,NA,a,NA,space,None,n,0.015400001,NA,2593.109,NA,6461.0581,0.015400001,935.5497001,2,psycho,1024,2,48000,-16,experiment,999,odd,?¬ê³¼,natural,NA,203726.6696,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,203011.4022,2930.4788,204768.3497,204768.8127,9392.6066,203217.9501,NA,203831.7715,203002.5796,Extended template,0,1.434499864,85,yes,1024
0,0,0.01686744,0.01686744,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,88,1,1,0,0,0,0,NA,88,0,88,88,0,88,1,88,88,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,85,85,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,?€?™êµ,artifactual,no-correlation,0,None,NA,a,NA,space,None,n,0.016100006,NA,2593.109,NA,6461.0581,0.016100006,1218.2931,2,psycho,1024,2,48000,-16,experiment,999,odd,ê³„ê³¡,natural,NA,205569.0079,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,204858.3415,2930.4788,206900.5166,206900.9858,9392.6066,205064.0399,NA,205681.1228,204843.1389,Extended template,0,1.45059987,86,yes,1024
0,0,0.016852872,0.016852872,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,89,1,1,0,0,0,0,NA,89,0,89,89,0,89,1,89,89,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,86,86,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,?¬ë ¥,artifactual,same phoneme,0,None,NA,a,NA,space,None,n,0.015600002,NA,2593.109,NA,6461.0581,0.015600002,774.6813999,2,psycho,1024,2,48000,-16,experiment,999,odd,"??,natural""",NA,207703.2144,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,206987.9203,2930.4788,208588.2962,208588.7685,9392.6066,207194.5131,NA,207812.7509,206978.695,Extended template,0,1.466199872,87,yes,1024,
0,0,0.016851135,0.016851135,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,90,1,1,0,0,0,0,NA,90,0,90,90,0,90,1,90,90,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,87,87,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,ê¸°ì°¨,artifactual,no-correlation,0,None,NA,a,NA,space,None,a,0.016700011,NA,2593.109,NA,6461.0581,0.016700011,812.0254,2,psycho,1024,2,48000,-16,experiment,999,odd,"ê°€ë°?,artifactual""",NA,209387.5467,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,208676.6038,2930.4788,210312.4197,210312.8949,9392.6066,208882.7848,NA,209499.3567,208661.7324,Extended template,0,1.482899883,88,yes,1024,
0,0,0.016844943,0.016844943,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,91,1,1,0,0,0,0,NA,91,0,91,91,0,91,1,91,91,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,88,88,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,"?±ì ??,artifactual""",same phoneme,0,None,NA,a,NA,space,None,a,0.016300008,NA,2593.109,NA,6461.0581,0.016300008,1404.7615,2,psycho,1024,2,48000,-16,experiment,999,odd,?±ëƒ¥,artifactual,NA,211113.5641,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,210398.3379,2930.4788,212625.1158,212625.6053,9392.6066,210605.5594,NA,211218.6099,210387.8195,Extended template,0,1.499199891,89,yes,1024,
0,0,0.016836666,0.016836666,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,92,1,1,0,0,0,0,NA,92,0,92,92,0,92,1,92,92,Sun Dec  3 01:03:01 2023,A template containing a practice and an experimental phase,yes,?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜_Bì¡?ê¸°ë§ê³¼ì œ?©ì‹¬ë¦¬ì‹¤??osexp,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜,no,mono,no,18,no,black,no,no,768,psycho,89,89,0,E:\2023?„ë„ 1?™ê¸°\?¸ì–´?™ê³¼?¬ë¦¬?¤í—˜\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,"??,natural""",inclusive,0,None,NA,a,NA,space,None,n,0.016100006,NA,2593.109,NA,6461.0581,0.016100006,1000.1323,2,psycho,1024,2,48000,-16,experiment,999,odd,ê¹Œì¹˜,natural,NA,213426.2971,16432.6265,16432.5808,NA,13838.4886,2882.2141,16432.1404,NA,212710.7373,2930.4788,214532.3429,214532.8306,9392.6066,212916.7146,NA,213531.1879,212701.9392,Extended template,0,1.515299897,90,yes,1024,
