acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions,correct_keyboard_response,correct_response,correct_target,count_about_this_template,count_blank,count_block_loop,count_block_sequence,count_end_of_experiment,count_end_of_practice,count_experiment,count_experimental_loop,count_feedback,count_fixation,count_instructions,count_keyboard_response,count_logger,count_practice_loop,count_prime,count_reset_feedback,count_target,count_trial_sequence,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block_loop,live_row_practice_loop,logfile,mouse_backend,opensesame_codename,opensesame_version,practice,prime,prime_condition,relation,repeat_cycle,response,response_end_of_experiment,response_end_of_practice,response_feedback,response_instructions,response_keyboard_response,response_target,response_time,response_time_end_of_experiment,response_time_end_of_practice,response_time_feedback,response_time_instructions,response_time_keyboard_response,response_time_target,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,target_condition,time_about_this_template,time_blank,time_block_loop,time_block_sequence,time_end_of_experiment,time_end_of_practice,time_experiment,time_experimental_loop,time_feedback,time_fixation,time_instructions,time_keyboard_response,time_logger,time_practice_loop,time_prime,time_reset_feedback,time_target,time_trial_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,0.0258624932030215,0.0258624932030215,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,10,1,1,0,0,0,0,,10,0,10,10,0,10,1,10,10,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,7,7,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,교통,artifactual,inclusive,0,None,,n,,a,None,a,0.0214000465348362,,770.0398999731988,,716.150899999775,0.0214000465348362,1018.1602999800816,2,psycho,1024,2,48000,-16,experiment,999,odd,자동차,artifactual,,26190.40629989468,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,25454.59709991701,6775.033899932168,27326.756099937484,27326.92139991559,7491.714599891566,25673.3910999028,,26307.830199948512,25417.07409999799,Extended template,0,0.2068999456241727,8,yes,1024
0,0,0.0254444441654615,0.0254444441654615,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,11,1,1,0,0,0,0,,11,0,11,11,0,11,1,11,11,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,8,8,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,모래,natural,similar-environmental,0,None,,n,,a,None,n,0.0221000518649816,,770.0398999731988,,716.150899999775,0.0221000518649816,822.9941999306902,2,psycho,1024,2,48000,-16,experiment,999,odd,자갈,natural,,28216.0576999886,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,27459.39869992435,6775.033899932168,29157.050799927674,29157.21469989512,7491.714599891566,27690.4064998962,,28333.36789999157,27449.489699909464,Extended template,0,0.2289999974891543,9,yes,1024
0,0,0.0254799961112439,0.0254799961112439,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,x,1,0,12,1,1,0,0,0,0,,12,0,12,12,0,12,1,12,12,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,9,9,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,벨트,artifactual,non-word,0,None,,n,,a,None,x,0.0257999636232852,,770.0398999731988,,716.150899999775,0.0257999636232852,841.3097000448033,2,psycho,1024,2,48000,-16,experiment,999,odd,진웬,non-word,,30023.7305999035,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,29293.13129989896,6775.033899932168,30991.79889995139,30992.00559989549,7491.714599891566,29507.1974999737,,30149.73149995785,29266.07979997061,Extended template,0,0.2547999611124396,10,yes,1024
0,0,0.0251454555175521,0.0251454555175521,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,13,1,1,0,0,0,0,,13,0,13,13,0,13,1,13,13,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,10,10,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,전구,artifactual,similar-environmental,0,None,,n,,a,None,n,0.0218000495806336,,770.0398999731988,,716.150899999775,0.0218000495806336,1844.414499937557,2,psycho,1024,2,48000,-16,experiment,999,odd,빛,natural,,31873.64019989036,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,31126.20989989955,6775.033899932168,33851.95309994742,33852.130899904296,7491.714599891566,31357.29839990381,,32006.862899987027,31105.319699971005,Extended template,0,0.2766000106930733,11,yes,1024
0,0,0.0252749984307835,0.0252749984307835,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,14,1,1,0,0,0,0,,14,0,14,14,0,14,1,14,14,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,11,11,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,호수,natural,no-correlation,0,None,,n,,a,None,a,0.0266999704763293,,770.0398999731988,,716.150899999775,0.0266999704763293,721.3911999715492,2,psycho,1024,2,48000,-16,experiment,999,odd,대학교,artifactual,,34723.40199991595,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,33977.35479997937,6775.033899932168,35562.25059996359,35562.465799972415,7491.714599891566,34190.14349998906,,34840.06139996927,33961.96649991907,Extended template,0,0.3032999811694026,12,yes,1024
0,0,0.0251692254096269,0.0251692254096269,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,15,1,1,0,0,0,0,,15,0,15,15,0,15,1,15,15,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,12,12,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,가방,artifactual,no-correlation,0,None,,n,,a,None,a,0.0238999491557478,,770.0398999731988,,716.150899999775,0.0238999491557478,1053.7900999188423,2,psycho,1024,2,48000,-16,experiment,999,odd,기차,artifactual,,36457.37369998824,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,35703.062499989755,6775.033899932168,37638.04170000367,37638.2464999333,7491.714599891566,35923.5103999963,,36583.47439998761,35674.161099945195,Extended template,0,0.3271999303251505,13,yes,1024
0,0,0.0248785696125456,0.0248785696125456,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,16,1,1,0,0,0,0,,16,0,16,16,0,16,1,16,16,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,13,13,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,종이,artifactual,similar-environmental,0,None,,n,,a,None,a,0.0211000442504882,,770.0398999731988,,716.150899999775,0.0211000442504882,715.142700006254,2,psycho,1024,2,48000,-16,experiment,999,odd,프린터,artifactual,,38539.93049997371,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,37788.16239989828,6775.033899932168,39372.76219995693,39372.94519995339,7491.714599891566,38023.74159998726,,38656.89169999678,37744.2846999038,Extended template,0,0.3482999745756387,14,yes,1024
0,0,0.0246666682263215,0.0246666682263215,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,17,1,1,0,0,0,0,,17,0,17,17,0,17,1,17,17,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,14,14,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,우산,artifactual,similar-environmental,0,None,,n,,a,None,n,0.0217000488191843,,770.0398999731988,,716.150899999775,0.0217000488191843,692.3204000340775,2,psycho,1024,2,48000,-16,experiment,999,odd,비,natural,,40240.29949994292,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,39493.43759997282,6775.033899932168,41060.05999993067,41060.25260000024,7491.714599891566,39706.92659995984,,40367.045899969526,39480.78149999492,Extended template,0,0.3700000233948231,15,yes,1024
0,0,0.0247124989982694,0.0247124989982694,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,18,1,1,0,0,0,0,,18,0,18,18,0,18,1,18,18,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,15,15,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,가을,natural,similar-environmental,0,None,,n,,a,None,n,0.0253999605774879,,770.0398999731988,,716.150899999775,0.0253999605774879,724.9054000712931,2,psycho,1024,2,48000,-16,experiment,999,odd,낙엽,natural,,41940.025899908505,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,41203.48839997314,6775.033899932168,42782.63499995228,42782.84729993902,7491.714599891566,41423.880099901,,42056.90909991972,41170.68469990045,Extended template,0,0.395399983972311,16,yes,1024
0,0,0.0252235297332791,0.0252235297332791,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,19,1,1,0,0,0,0,,19,0,19,19,0,19,1,19,19,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,16,16,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,불,natural,similar-environmental,0,None,,n,,a,None,a,0.0334000214934349,,770.0398999731988,,716.150899999775,0.0334000214934349,687.7422000980005,2,psycho,1024,2,48000,-16,experiment,999,odd,소화기,artifactual,,43656.69579990208,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,42919.16979989037,6775.033899932168,44462.3464999022,44462.62759994716,7491.714599891566,43140.30319999438,,43773.76119990368,42893.98929988965,Extended template,0,0.4288000054657459,17,yes,1024
0,0,0.0250500031850404,0.0250500031850404,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,n,1,0,20,1,1,0,0,0,0,,20,0,20,20,0,20,1,20,20,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,17,17,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,해질녘,natural,same phoneme,0,None,,n,,a,None,n,0.0221000518649816,,770.0398999731988,,716.150899999775,0.0221000518649816,636.1056000459939,2,psycho,1024,2,48000,-16,experiment,999,odd,해마,natural,,45367.49929992948,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,44621.52289994992,6775.033899932168,46127.452999935485,46127.66599992756,7491.714599891566,44840.100599918514,,45490.58729992248,44584.45419999771,Extended template,0,0.4509000573307276,18,yes,1024
0,0,0.025026316411401,0.025026316411401,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,21,1,1,0,0,0,0,,21,0,21,21,0,21,1,21,21,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,18,18,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,키보드,artifactual,similar-environmental,0,None,,n,,a,None,a,0.0245999544858932,,770.0398999731988,,716.150899999775,0.0245999544858932,699.564200011082,2,psycho,1024,2,48000,-16,experiment,999,odd,컴퓨터,artifactual,,47006.699699908495,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,46270.5262999516,6775.033899932168,47833.12379999552,47833.366099977866,7491.714599891566,46490.3600999387,,47132.70909991115,46238.33819990978,Extended template,0,0.4755000118166208,19,yes,1024
0,0,0.0248700031079351,0.0248700031079351,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,22,1,1,0,0,0,0,,22,0,22,22,0,22,1,22,22,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,19,19,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,학적,artifactual,same phoneme,0,None,,n,,a,None,a,0.0219000503420829,,770.0398999731988,,716.150899999775,0.0219000503420829,823.966299998574,2,psycho,1024,2,48000,-16,experiment,999,odd,학술,artifactual,,48773.42429989949,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,48020.69799997844,6775.033899932168,49724.68879993539,49724.92759989109,7491.714599891566,48240.323999896646,,48899.82599997893,47986.78849998396,Extended template,0,0.4974000621587038,20,yes,1024
0,0,0.0247238148447303,0.0247238148447303,white,yes,psycho,psycho,psycho,0,uniform,0,undefined,0,a,1,0,23,1,1,0,0,0,0,,23,0,23,23,0,23,1,23,23,Tue Dec  5 13:20:41 2023,A template containing a practice and an experimental phase,yes,언어학과심리실험_B조_기말과제용심리실험.osexp,C:\Users\caphi\Downloads,no,mono,no,18,no,black,no,no,768,psycho,20,20,0,C:\Users\caphi\Downloads\quickrun.csv,psycho,Lentiform Loewenfeld,3.3.14,no,컴퓨터,artifactual,similar-environmental,0,None,,n,,a,None,a,0.0218000495806336,,770.0398999731988,,716.150899999775,0.0218000495806336,1494.862399995327,2,psycho,1024,2,48000,-16,experiment,999,odd,키보드,artifactual,,50574.427599902265,12330.975899938494,12330.843599978834,,11559.1618999606,6733.804299961776,12330.09399997536,,49842.90279995184,6775.033899932168,52196.34129991755,52196.55899994541,7491.714599891566,50057.141199940816,,50700.6662999047,49827.8721999377,Extended template,0,0.5192001117393374,21,yes,1024
